Plot,Block,Col,Row,Ind,Family,Population,Massif,Altitude,Exposure,Type,Total_fruit_length_2014,H_base_2014,Area_2014,Total_fruit_length_2015,Area_2015,H_base_2015,tfl,area,h.base
High elevation,3,B,2,B2,F029-30,F029,Lautaret,1894,NA,NA,37,20,819.956,,,,37,819.96,20
High elevation,3,C,19,C19,PIC-18,PIC,Lautaret,2930,South,R,0,20,280.387,,,,0,280.39,20
High elevation,3,C,2,C2,F005-31,F005,Vercors,1842,NA,R,447.2,20,681.726,2018.4,2590.5,20,1232.8,1636.11,20
High elevation,3,D,19,D19,F005-30,F005,Vercors,1842,NA,I,134.4,20,603.186,,,,134.4,603.19,20
High elevation,3,D,10,D10,bordure,bordure,NA,NA,NA,R,0,20,523.861,,,,0,523.86,20
High elevation,3,E,7,E7,F029-27,F029,Lautaret,1894,NA,R,0,20,657.378,,,,0,657.38,20
High elevation,4,A,10,A10,VIL-15,VIL,Vercors,1980,South,NA,579.2,20,801.106,,,,579.2,801.11,20
High elevation,4,E,17,E17,GAL-1,GAL,Lautaret,2590,North,I,118,20,296.881,,,,118,296.88,20
High elevation,4,E,9,E9,bordure,bordure,NA,NA,NA,I,0,20,148.44,,,,0,148.44,20
High elevation,4,E,7,E7,VIL-11,VIL,Vercors,1980,South,R,190.8,20,1658.761,2090.4,3022.25,20,1140.6,2340.51,20
High elevation,4,E,3,E3,PIC-4,PIC,Lautaret,2930,South,R,259,20,703.717,,,,259,703.72,20
High elevation,5,A,15,A15,bordure,bordure,NA,NA,NA,R,421.2,20,784.613,924,2355,20,672.6,1569.81,20
High elevation,5,B,18,B18,bordure,bordure,NA,NA,NA,I,1802,,,226.8,1727,20,1014.4,1727,20
High elevation,5,C,3,C3,F029-22,F029,Lautaret,1894,NA,R,111,20,1046.15,,,,111,1046.15,20
High elevation,5,C,1,C1,BRU-13,BRU,Vercors,930,South,NR,327.6,20,885.929,,,,327.6,885.93,20
High elevation,5,D,13,D13,F029-30,F029,Lautaret,1894,NA,I,2187,20,637.743,,,,2187,637.74,20
Low elevation,1,C,11,C11,VIL-11,VIL,Vercors,1980,South,S,322.2,20,628.319,,,,322.2,628.32,20
Low elevation,1,C,6,C6,F029-30,F029,Lautaret,1894,NA,S,88.333,20,58.905,,,,88.33,58.91,20
Low elevation,1,D,3,D3,bordure,bordure,NA,NA,NA,S,0,20,19.635,,,,0,19.64,20
Low elevation,1,D,2,D2,FGAL-P,FGAL,Lautaret,2600,North,S,0,20,19.635,,,,0,19.64,20
Low elevation,1,E,19,E19,bordure,bordure,NA,NA,NA,NR,4482.133,20,2827.433,,,,4482.13,2827.43,20
Low elevation,2,B,4,B4,F029-30,F029,Lautaret,1894,NA,S,0,20,117.81,,,,0,117.81,20
Low elevation,2,C,6,C6,LAU-10,LAU,Lautaret,2090,North,S,66,20,314.159,,,,66,314.16,20
Low elevation,2,D,7,D7,F107-41,F107,Vercors,1704,NA,S,0,20,78.54,,,,0,78.54,20
Low elevation,2,E,5,E5,CHA-16,CHA,Vercors,1480,North,NR,26051.533,20,10838.495,,,,26051.53,10838.5,20
Low elevation,2,E,4,E4,VIL-13,VIL,Vercors,1980,South,TR,360.8,20,471.239,,,,360.8,471.24,20
Low elevation,3,A,20,A20,FGAL-P,FGAL,Lautaret,2600,North,S,0,20,314.159,,,,0,314.16,20
Low elevation,3,C,9,C9,F107-3,F107,Vercors,1704,NA,S,0,20,314.159,,,,0,314.16,20
Low elevation,3,E,15,E15,VIL-8,VIL,Vercors,1980,South,S,192,20,471.239,,,,192,471.24,20
Low elevation,3,E,6,E6,FGAL-Q,FGAL,Lautaret,2600,North,S,144,20,117.81,,,,144,117.81,20
High elevation,2,D,17,D17,bordure,bordure,NA,NA,NA,R,262,21,428.827,124.8,588.75,20,193.4,508.79,20.5
High elevation,4,D,20,D20,F005-14,F005,Vercors,1842,NA,NR,1984,21,837.234,1543.5,1236.375,20,1763.75,1036.81,20.5
High elevation,4,E,19,E19,bordure,bordure,NA,NA,NA,R,655,26,824.668,2436,1648.5,15,1545.5,1236.58,20.5
High elevation,5,A,1,A1,CHA-9,CHA,Vercors,1480,North,NR,1102,16,890.642,1641.6,1099,25,1371.8,994.82,20.5
High elevation,5,B,6,B6,F107-4,F107,Vercors,1704,NA,I,3007.6,31,2082.876,411.4,588.75,10,1709.5,1335.81,20.5
High elevation,5,E,18,E18,F107-42,F107,Vercors,1704,NA,NR,4699,26,447.677,7410,1236.375,15,6054.5,842.03,20.5
High elevation,5,E,14,E14,GAL-13,GAL,Lautaret,2590,North,I,5556.8,31,4281.205,366.6,785,10,2961.7,2533.1,20.5
High elevation,1,A,20,A20,F107-41,F107,Vercors,1704,NA,I,1120,17,1005.31,2970,1884,25,2045,1444.66,21
High elevation,1,A,15,A15,FGAL-129,FGAL,Lautaret,2600,North,R,262.8,21,819.956,,,,262.8,819.96,21
High elevation,1,B,15,B15,F107-6,F107,Vercors,1704,NA,R,0,21,1384.657,,,,0,1384.66,21
High elevation,1,B,7,B7,F029-29,F029,Lautaret,1894,NA,R,95,21,507.367,,,,95,507.37,21
High elevation,1,C,20,C20,bordure,bordure,NA,NA,NA,R,282,21,1148.252,,,,282,1148.25,21
High elevation,1,C,14,C14,PIC-16,PIC,Lautaret,2930,South,R,438,21,857.655,,,,438,857.66,21
High elevation,1,D,4,D4,GAL-13,GAL,Lautaret,2590,North,NR,3875,21,2525.84,,,,3875,2525.84,21
High elevation,1,E,16,E16,F005-35,F005,Vercors,1842,NA,NA,0,21,259.181,,,,0,259.18,21
High elevation,1,E,12,E12,GAL-20,GAL,Lautaret,2590,North,I,207.2,21,565.487,,,,207.2,565.49,21
High elevation,1,E,11,E11,FGAL-Q,FGAL,Lautaret,2600,North,R,915.6,21,1017.091,,,,915.6,1017.09,21
High elevation,1,E,6,E6,FGAL-P,FGAL,Lautaret,2600,North,TR,214.4,21,3216.991,,,,214.4,3216.99,21
High elevation,3,A,19,A19,BRU-1,BRU,Vercors,930,South,I,0,21,848.23,,,,0,848.23,21
High elevation,3,A,14,A14,F107-3,F107,Vercors,1704,NA,I,660,22,671.515,3614,1295.25,20,2137,983.38,21
High elevation,3,A,4,A4,bordure,bordure,NA,NA,NA,NR,143,21,376.991,,,,143,376.99,21
High elevation,3,B,8,B8,FGAL-127,FGAL,Lautaret,2600,North,R,268,21,461.814,,,,268,461.81,21
High elevation,3,C,15,C15,PIC-16,PIC,Lautaret,2930,South,R,0,21,852.157,,,,0,852.16,21
High elevation,3,C,11,C11,F029-22,F029,Lautaret,1894,NA,I,208,21,379.347,,,,208,379.35,21
High elevation,3,D,9,D9,bordure,bordure,NA,NA,NA,R,432,21,2805.442,,,,432,2805.44,21
High elevation,3,E,2,E2,PIC-13,PIC,Lautaret,2930,South,R,200.2,21,400.553,,,,200.2,400.55,21
High elevation,4,B,7,B7,bordure,bordure,NA,NA,NA,I,1010.8,21,1060.288,,,,1010.8,1060.29,21
High elevation,4,E,4,E4,LAU-8,LAU,Lautaret,2090,North,R,1339.2,21,1859.823,,,,1339.2,1859.82,21
High elevation,5,B,15,B15,GAL-18,GAL,Lautaret,2590,North,TR,1178.2,21,829.38,,,,1178.2,829.38,21
High elevation,5,C,5,C5,F005-14,F005,Vercors,1842,NA,NR,1108.8,21,471.239,,,,1108.8,471.24,21
High elevation,5,E,8,E8,PIC-16,PIC,Lautaret,2930,South,NR,1561.6,21,1295.907,,,,1561.6,1295.91,21
High elevation,1,D,16,D16,VIL-15,VIL,Vercors,1980,South,NR,3031.8,38,1413.717,981,765.375,5,2006.4,1089.55,21.5
High elevation,3,A,2,A2,BRU-13,BRU,Vercors,930,South,NR,873.6,18,824.668,634.6666667,1942.875,25,754.13,1383.77,21.5
High elevation,3,C,14,C14,bordure,bordure,NA,NA,NA,R,431.6,23,604.757,2059,1177.5,20,1245.3,891.13,21.5
High elevation,3,C,1,C1,LAU-2,LAU,Lautaret,2090,North,TR,548,23,1979.203,445.2,2119.5,20,496.6,2049.35,21.5
