SEX,Survival,pop.size,pop.size.prev,Fhat3,MatFhat3,Density
1,1,335,651,-0.0226725,-0.016482,Low
1,1,335,651,-0.0149832,0.00488724,Low
2,1,335,651,0.0359275,-0.00508064,Low
1,1,335,651,0.0448465,-0.00508064,Low
2,1,335,651,-0.0209949,0.00940437,Low
2,1,335,651,0.0757257,-0.00409303,Low
1,1,335,651,-0.0179709,-0.0285054,Low
2,1,335,651,-0.0281997,-0.0285054,Low
1,1,335,651,-0.021904,-0.0285054,Low
1,1,335,651,0.0136922,-0.0285054,Low
1,1,335,651,0.00326406,0.024892,Low
2,1,335,651,0.0560388,-0.0285919,Low
1,1,335,651,0.0227103,0.00476062,Low
2,1,335,651,-0.0130999,0.0107203,Low
1,1,335,651,-0.0388923,-0.0351052,Low
1,1,335,651,-0.00679169,-0.0351052,Low
2,1,335,651,-0.00218283,-0.0351052,Low
1,1,335,651,0.0413015,-0.0138914,Low
1,1,335,651,0.0213644,-0.0176457,Low
1,1,335,651,-0.0446396,-0.0248524,Low
1,1,335,651,-0.00465321,-0.0435211,Low
2,1,335,651,0.00314723,-0.0435211,Low
2,1,335,651,-0.03209,-0.00537301,Low
2,1,335,651,0.00533199,-0.00537301,Low
1,0,335,651,-0.013562,-0.00606993,Low
1,1,335,651,-0.0123377,0.0150026,Low
2,1,335,651,-0.0414546,0.0290555,Low
1,1,335,651,0.0113288,0.0290555,Low
2,1,335,651,0.000327378,-0.00441283,Low
2,1,335,651,-0.0260539,-0.00441283,Low
2,1,335,651,-0.00177733,-0.00743591,Low
1,1,335,651,-0.0132288,-0.00743591,Low
2,1,335,651,0.000886844,-0.00176468,Low
1,1,335,651,-0.000153505,-0.0221407,Low
1,0,335,651,-0.00288433,-0.0221407,Low
1,1,335,651,-0.0149622,-0.0221407,Low
1,1,335,651,0.0628082,-0.0221407,Low
1,1,335,651,-0.0129099,0.0256569,Low
1,1,335,651,-0.0125899,0.0256569,Low
1,1,335,651,-0.0157246,-0.0144068,Low
1,1,335,651,-0.00223139,-0.0144068,Low
1,1,335,651,0.0215104,0.000164651,Low
